# IncludedObjects
# Cgfs: 8, Materials: 9, Palettes: 5, Placements: 8

[CGFs]
      0: objects/buildingsets/human/lowtech/prop/utilitarian/improvised/improvised_panel_8_e.cgf
      1: objects/buildingsets/human/lowtech/prop/utilitarian/improvised/improvised_panel_8_d.cgf
      2: objects/buildingsets/human/lowtech/prop/utilitarian/improvised/improvised_panel_8_a.cgf
      3: objects/buildingsets/human/universal/prop/utility/waste/trash_bag_scattered_1_lrg_a.cgf
      4: objects/buildingsets/human/lowtech/prop/utilitarian/improvised/improvised_panel_8_b.cgf
      5: objects/buildingsets/human/universal/prop/utility/waste/trash_bag_scattered_1_small_b.cgf
      6: objects/buildingsets/human/lowtech/prop/storage/container/container_dry_3_025x05x025_a.cgf
      7: objects/buildingsets/human/lowtech/prop/utilitarian/improvised/improvised_panel_3_b.cgf

[Materials]
      0: objects/spaceships/derelicts/materials/decals/dirty_rust_c
      1: objects/spaceships/derelicts/materials/decals/dirty_rust_f
      2: materials/pu/decal/graffiti/graffiti_roller_patch_002_white
      3: materials/pu/decal/graffiti/graffiti_roller_003_grey
      4: materials/pu/decal/graffiti/graffiti_tag_stuck_white
      5: materials/pu/decal/graffiti/graffiti_tag_xcircle_white
      6: materials/pu/decal/graffiti/graffiti_roller_002_black
      7: materials/pu/decal/graffiti/graffiti_tag_deadend_black
      8: materials/pu/decal/graffiti/graffiti_roller_patch_001_white

[Palettes]
      0: Libs/Foundry/Records/TintPalettes/Generic/gen_grey_darkgrey_red_a<333>
      1: Libs/Foundry/Records/TintPalettes/Generic/gen_faded_blue_red_grey_b<333>
      2: Libs/Foundry/Records/TintPalettes/Generic/gen_grey_darkgrey_yellow
      3: Libs/Foundry/Records/TintPalettes/default
      4: Libs/Foundry/Records/TintPalettes/Generic/gen_brown_silver_darkgrey<333>

[Placements]
  #0 objects/buildingsets/human/lowtech/prop/utilitarian/improvised/improvised_panel_8_e.cgf
    [-0.80901522063119102, -0.58778695014167814, 0.00000000000000000, 0.00158100000000161]
    [0.58778695014167814, -0.80901522063119102, 0.00000000000000000, -0.88161699999999854]
    [0.00000000000000000, 0.00000000000000000, 0.99999956298479964, 2.50000100000000014]
  #1 objects/buildingsets/human/lowtech/prop/utilitarian/improvised/improvised_panel_8_d.cgf
    [-0.15643451743088624, -0.98768763796483450, 0.00000000000000000, -2.04406799999999933]
    [0.98768763796483450, -0.15643451743088624, 0.00000000000000000, -1.14465400000000272]
    [0.00000000000000000, 0.00000000000000000, 0.99999931421595878, 0.03383500000000006]
  #2 objects/buildingsets/human/lowtech/prop/utilitarian/improvised/improvised_panel_8_a.cgf
    [-0.98768747993642925, 0.15643429597425490, 0.00000000000000000, -0.32614600000000138]
    [-0.15643429597425490, -0.98768747993642925, 0.00000000000000000, 3.07976200000000233]
    [0.00000000000000000, 0.00000000000000000, 0.99999912348968367, 0.03383500000000006]
  #3 objects/buildingsets/human/universal/prop/utility/waste/trash_bag_scattered_1_lrg_a.cgf
    [1.00000000000000000, 0.00000000000000000, 0.00000000000000000, -0.23057199999999867]
    [0.00000000000000000, 1.00000000000000000, 0.00000000000000000, -0.03257899999999836]
    [0.00000000000000000, 0.00000000000000000, 1.00000000000000000, 0.00000000000000000]
  #4 objects/buildingsets/human/lowtech/prop/utilitarian/improvised/improvised_panel_8_b.cgf
    [0.58778530951595731, -0.80901542426896833, 0.00000000000000000, 1.56404900000000069]
    [0.80901542426896833, 0.58778530951595731, 0.00000000000000000, -2.89907199999999676]
    [0.00000000000000000, 0.00000000000000000, 0.99999876339316973, 0.03383500000000006]
  #5 objects/buildingsets/human/universal/prop/utility/waste/trash_bag_scattered_1_small_b.cgf
    [-0.70710511751652116, -0.70710763244986130, 0.00000000000000000, -0.06589800000000068]
    [0.70710763244986130, -0.70710511751652116, 0.00000000000000000, 0.66548800000000341]
    [0.00000000000000000, 0.00000000000000000, 0.99999942554328558, 2.44741600000000004]
  #6 objects/buildingsets/human/lowtech/prop/storage/container/container_dry_3_025x05x025_a.cgf
    [1.00000000000000000, 0.00000000000000000, 0.00000000000000000, 0.00000000000000000]
    [0.00000000000000000, 1.00000000000000000, 0.00000000000000000, 0.00000000000000000]
    [0.00000000000000000, 0.00000000000000000, 1.00000000000000000, 0.00000000000000000]
  #7 objects/buildingsets/human/lowtech/prop/utilitarian/improvised/improvised_panel_3_b.cgf
    [-0.98768747993642925, 0.15643429597425490, 0.00000000000000000, -0.23743699999999990]
    [-0.15643429597425490, -0.98768747993642925, 0.00000000000000000, 0.63770199999999733]
    [0.00000000000000000, 0.00000000000000000, 0.99999912348968367, 2.46329099999999990]
