# IncludedObjects
# Cgfs: 3, Materials: 2, Palettes: 2, Placements: 3

[CGFs]
      0: objects/buildingsets/human/hightech/loc/stanton/orison/industrial_plate/int/ind_display_stand_a.cgf
      1: objects/buildingsets/human/lowtech/prop/utilitarian/machine/machine_forklift_1_a.cgf
      2: objects/buildingsets/human/brand/crusader/signs/crusader_sign_you_are_here_a.cgf

[Materials]
      0: objects/buildingsets/human/lowtech/prop/utilitarian/utilitarian_master_1_tintable
      1: objects/buildingsets/human/brand/crusader/crusader_txt_nodecal

[Palettes]
      0: Libs/Foundry/Records/TintPalettes/Brand/CrusaderIndustries/CrusaderIndustries_industrial
      1: Libs/Foundry/Records/TintPalettes/brand/crusaderindustries/CrusaderIndustries_industrial<321>

[Placements]
  #0 objects/buildingsets/human/hightech/loc/stanton/orison/industrial_plate/int/ind_display_stand_a.cgf
    [-0.70710823567003822, 0.70710613896567276, -0.00000000000000002, -22.49999999906867743]
    [-0.70710613896567276, -0.70710823567003822, 0.00000000000000005, -103.75000000000000000]
    [0.00000000000000002, 0.00000000000000005, 1.00000057435750267, 1.00000000000000000]
  #1 objects/buildingsets/human/lowtech/prop/utilitarian/machine/machine_forklift_1_a.cgf
    [-0.01745107793208678, 0.99984703194157232, -0.00000000000000004, -20.92448899801820517]
    [-0.99984703194157232, -0.01745107793208678, 0.00000000000000004, -81.38174400000002606]
    [0.00000000000000004, 0.00000000000000004, 0.99999931370144568, 1.03890099935233593]
  #2 objects/buildingsets/human/brand/crusader/signs/crusader_sign_you_are_here_a.cgf
    [0.05101927390993497, 0.00000007143539892, 0.05101907005918525, -10.59059552196413279]
    [0.05101907005922644, -0.00000002901550943, -0.05101927390993555, -91.13562568697511779]
    [-0.00000002999553343, 0.07215200496174853, -0.00000007102945856, 3.24615629017353058]
