# IncludedObjects
# Cgfs: 10, Materials: 4, Palettes: 4, Placements: 24

[CGFs]
      0: objects/buildingsets/human/lowtech/alpha/int/roomsm/ceiling/roomsm_ceiling_straight_04x01x0025_b.cgf
      1: objects/buildingsets/human/lowtech/alpha/int/roomsm/wall/roomsm_wall_cornerout_01x01x04_c.cgf
      2: objects/buildingsets/human/lowtech/alpha/int/roomsm/floor/roomsm_floor_straight_02x01x0025_a.cgf
      3: objects/buildingsets/human/lowtech/alpha/int/roomsm/floor/roomsm_floor_straight_04x01x0025_a.cgf
      4: objects/buildingsets/human/lowtech/alpha/int/roomsm/ceiling/roomsm_ceiling_straight_02x01x0025_b.cgf
      5: objects/buildingsets/human/lowtech/alpha/int/roomsm/ceiling/roomsm_ceiling_straight_04x01x0025_a.cgf
      6: objects/buildingsets/human/lowtech/alpha/int/roomsm/ceiling/roomsm_ceiling_straight_02x01x0025_a.cgf
      7: objects/buildingsets/human/lowtech/alpha/int/roomsm/wall/roomsm_wall_cornerin_01x01x04_a.cgf
      8: objects/buildingsets/human/lowtech/alpha/int/elev/shaft_door_double_frame_04x0075x04_a.cgf
      9: objects/buildingsets/human/lowtech/alpha/int/roomsm/wall/roomsm_wall_straight_01x01x04_a.cgf

[Materials]
      0: materials/decals/scratches/scratches_small_a
      1: materials/decals/scratches/scratches_big_b
      2: materials/decals/oil/oil_dirt
      3: materials/decals/scratches/metal_scratches_02a

[Palettes]
      0: Libs/Foundry/Records/TintPalettes/Generic/gen_matte_dark_a
      1: Libs/Foundry/Records/TintPalettes/brand/restandrelax/restandrelax_default<132>
      2: Libs/Foundry/Records/TintPalettes/Generic/gen_glossy_dark_a
      3: Libs/Foundry/Records/TintPalettes/Brand/RestAndRelax/restandrelax_default<223>

[Placements]
  #0 objects/buildingsets/human/lowtech/alpha/int/roomsm/ceiling/roomsm_ceiling_straight_04x01x0025_b.cgf
    [-6.4012100026111661E-07, 1.0000004267473106, 0, 1.0000400000000127]
    [-1.0000004267473106, -6.4012100026111661E-07, -0, 0.00012900000000115597]
    [-0, 0, 1.0000004267475153, 4]
  #1 objects/buildingsets/human/lowtech/alpha/int/roomsm/wall/roomsm_wall_cornerout_01x01x04_c.cgf
    [-6.4012100026111661E-07, 1.0000004267473106, 0, -5.9999599999999873]
    [-1.0000004267473106, -6.4012100026111661E-07, -0, 0.00012900000000115597]
    [-0, 0, 1.0000004267475153, 0]
  #2 objects/buildingsets/human/lowtech/alpha/int/roomsm/wall/roomsm_wall_cornerout_01x01x04_c.cgf
    [-1, 0, 0, 6.0000400000000127]
    [0, -1, 0, 0.00012900000000115597]
    [0, 0, 1, 0]
  #3 objects/buildingsets/human/lowtech/alpha/int/roomsm/floor/roomsm_floor_straight_02x01x0025_a.cgf
    [1, 0, 0, -0.99996099999998478]
    [0, 1, 0, -0.99987099999999884]
    [0, 0, 1, 0]
  #4 objects/buildingsets/human/lowtech/alpha/int/roomsm/floor/roomsm_floor_straight_04x01x0025_a.cgf
    [1, 0, 0, -4.9999599999999873]
    [0, 1, 0, -0.99987099999999884]
    [0, 0, 1, 0]
  #5 objects/buildingsets/human/lowtech/alpha/int/roomsm/ceiling/roomsm_ceiling_straight_02x01x0025_b.cgf
    [-6.4012100026111661E-07, 1.0000004267473106, 0, -0.9999599999999873]
    [-1.0000004267473106, -6.4012100026111661E-07, -0, 0.00012900000000115597]
    [-0, 0, 1.0000004267475153, 4]
  #6 objects/buildingsets/human/lowtech/alpha/int/roomsm/floor/roomsm_floor_straight_04x01x0025_a.cgf
    [1, 0, 0, 1.0000400000000127]
    [0, 1, 0, -0.99987099999999884]
    [0, 0, 1, 0]
  #7 objects/buildingsets/human/lowtech/alpha/int/roomsm/ceiling/roomsm_ceiling_straight_04x01x0025_b.cgf
    [-6.4012100026111661E-07, 1.0000004267473106, 0, -4.9999599999999873]
    [-1.0000004267473106, -6.4012100026111661E-07, -0, 0.00012900000000115597]
    [-0, 0, 1.0000004267475153, 4]
  #8 objects/buildingsets/human/lowtech/alpha/int/roomsm/floor/roomsm_floor_straight_04x01x0025_a.cgf
    [-1, 0, 0, -0.9999599999999873]
    [0, -1, 0, 1.0001290000000012]
    [0, 0, 1, 0]
  #9 objects/buildingsets/human/lowtech/alpha/int/roomsm/ceiling/roomsm_ceiling_straight_04x01x0025_a.cgf
    [-1, 0, 0, -0.9999599999999873]
    [0, -1, 0, 1.0001290000000012]
    [0, 0, 1, 4]
  #10 objects/buildingsets/human/lowtech/alpha/int/roomsm/ceiling/roomsm_ceiling_straight_02x01x0025_a.cgf
    [1, 0, 0, -0.9999599999999873]
    [0, 1, 0, 0.00012900000000115597]
    [0, 0, 1, 4]
  #11 objects/buildingsets/human/lowtech/alpha/int/roomsm/wall/roomsm_wall_cornerin_01x01x04_a.cgf
    [-6.4012100026111661E-07, 1.0000004267473106, 0, -6.9999599999999873]
    [-1.0000004267473106, -6.4012100026111661E-07, -0, 6.0001290000000012]
    [-0, 0, 1.0000004267475153, 0]
  #12 objects/buildingsets/human/lowtech/alpha/int/roomsm/wall/roomsm_wall_cornerout_01x01x04_c.cgf
    [1, 0, 0, -5.9999619999999823]
    [0, 1, 0, 0.00012900000000115597]
    [0, 0, 1, 0]
  #13 objects/buildingsets/human/lowtech/alpha/int/roomsm/floor/roomsm_floor_straight_04x01x0025_a.cgf
    [-1, 0, 0, 5.0000400000000127]
    [0, -1, 0, 1.0001290000000012]
    [0, 0, 1, 0]
  #14 objects/buildingsets/human/lowtech/alpha/int/roomsm/wall/roomsm_wall_cornerin_01x01x04_a.cgf
    [1, 0, 0, -6.9999599999999873]
    [0, 1, 0, 0.00012900000000115597]
    [0, 0, 1, 0]
  #15 objects/buildingsets/human/lowtech/alpha/int/elev/shaft_door_double_frame_04x0075x04_a.cgf
    [-1, 0, 0, 5]
    [0, -1, 0, 6]
    [0, 0, 1, 0]
  #16 objects/buildingsets/human/lowtech/alpha/int/roomsm/wall/roomsm_wall_straight_01x01x04_a.cgf
    [-1, 0, 0, 6.0000400000000127]
    [0, -1, 0, 6.0001290000000012]
    [0, 0, 1, 0]
  #17 objects/buildingsets/human/lowtech/alpha/int/elev/shaft_door_double_frame_04x0075x04_a.cgf
    [-1, 0, 0, -1]
    [0, -1, 0, 6]
    [0, 0, 1, 0]
  #18 objects/buildingsets/human/lowtech/alpha/int/roomsm/wall/roomsm_wall_cornerin_01x01x04_a.cgf
    [-1, 0, 0, 7.0000400000000127]
    [0, -1, 0, 6.0001290000000012]
    [0, 0, 1, 0]
  #19 objects/buildingsets/human/lowtech/alpha/int/roomsm/wall/roomsm_wall_straight_01x01x04_a.cgf
    [-1, 0, 0, -4.9999599999999873]
    [0, -1, 0, 6.0001290000000012]
    [0, 0, 1, 0]
  #20 objects/buildingsets/human/lowtech/alpha/int/roomsm/wall/roomsm_wall_cornerin_01x01x04_a.cgf
    [-6.4012100026111661E-07, -1.0000004267473106, 0, 7.0000400000000127]
    [1.0000004267473106, -6.4012100026111661E-07, 0, 0.00012900000000115597]
    [0, 0, 1.0000004267475153, 0]
  #21 objects/buildingsets/human/lowtech/alpha/int/roomsm/ceiling/roomsm_ceiling_straight_04x01x0025_a.cgf
    [-1, 0, 0, 5.0000400000000127]
    [0, -1, 0, 1.0001290000000012]
    [0, 0, 1, 4]
  #22 objects/buildingsets/human/lowtech/alpha/int/roomsm/wall/roomsm_wall_cornerout_01x01x04_c.cgf
    [-6.4012100026111661E-07, -1.0000004267473106, 0, 6.0000410000000102]
    [1.0000004267473106, -6.4012100026111661E-07, 0, 0.00012900000000115597]
    [0, 0, 1.0000004267475153, 0]
  #23 objects/buildingsets/human/lowtech/alpha/int/roomsm/floor/roomsm_floor_straight_02x01x0025_a.cgf
    [-1, 0, 0, 1.0000390000000152]
    [0, -1, 0, 1.0001290000000012]
    [0, 0, 1, 0]
