# IncludedObjects
# Cgfs: 5, Materials: 0, Palettes: 1, Placements: 56

[CGFs]
      0: objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
      1: objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_a.cgf
      2: objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_corner_08x08x01_a.cgf
      3: objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_48x48x01_a.cgf
      4: objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_c.cgf

[Palettes]
      0: Libs/Foundry/Records/TintPalettes/default

[Placements]
  #0 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [-1.3435885786000428E-07, -0.99999997718096412, 0, -7]
    [0.99999997718096412, -1.3435885786000428E-07, 0, -34]
    [0, 0, 0.99999997718097322, 3]
  #1 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [-0.99999999999999867, 8.9816616366533602E-08, 0, -39]
    [-8.9816616366533602E-08, -0.99999999999999867, 0, 14]
    [0, 0, 1.0000000000000027, 3]
  #2 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_a.cgf
    [-1.3435885786000428E-07, -0.99999997718096412, 0, -7]
    [0.99999997718096412, -1.3435885786000428E-07, 0, -18]
    [0, 0, 0.99999997718097322, 3]
  #3 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_08x08x01_b.cgf
    [0.99999999999999356, 1.1350809359100823E-07, 0, -31]
    [-1.1350809359100823E-07, 0.99999999999999356, -0, -42]
    [-0, 0, 1, -1]
  #4 objects/buildingsets/human/lowtech/bravo/ext/concrete/concreteslab_corner_08x08x01_a.cgf
    [0.99999999999999356, -1.1350809359100823E-07, 0, -15]
    [1.1350809359100823E-07, 0.99999999999999356, 0, -42]
    [0, 0, 1, -1]
