# IncludedObjects
# Cgfs: 13, Materials: 1, Palettes: 2, Placements: 26

[CGFs]
      0: objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_anten_d.cgf
      1: objects/buildingsets/human/colonialism/col_a/ext/addons/wall/col_a_addn_ext_wall_stght_4m_a.cgf
      2: objects/buildingsets/human/colonialism/col_a/ext/addons/foundations/col_a_ext_steel_formwork_2m_001.cgf
      3: objects/buildingsets/human/colonialism/col_a/ext/addons/wall/col_a_addn_ext_wall_addn_b.cgf
      4: objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_cover_b.cgf
      5: objects/buildingsets/human/colonialism/col_a/ext/addons/wall/col_a_addn_ext_wall_stght_4m_broken_a.cgf
      6: objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_fluff_a.cgf
      7: objects/buildingsets/human/colonialism/col_a/ext/addons/foundations/col_a_ext_brick_pallet_001.cgf
      8: objects/buildingsets/human/colonialism/col_a/ext/garage/col_garage_sml_a_ext_addon_canisters_a.cgf
      9: objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_floorplate_metal_05x4m_a.cgf
     10: objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_anten_b.cgf
     11: objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_cover_a.cgf
     12: objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_floorplate_metal_05x4m_b.cgf

[Materials]
      0: materials/decals/debris/debris

[Palettes]
      0: Libs/Foundry/Records/TintPalettes/Generic/gen_white_darkgrey_blue<223>
      1: Libs/Foundry/Records/TintPalettes/brand/colonialism/col_default|walls_ext<333>

[Placements]
  #0 objects/buildingsets/human/colonialism/col_a/ext/addons/col_a_ext_adn_anten_d.cgf
    [-0.54811501502990723, 0, 0, -0.088213999999993575]
    [0, -0.54811501502990723, 0, 8.0613880000000009]
    [0, 0, 0.54811501502990723, 1.1403479999999999]
  #1 objects/buildingsets/human/colonialism/col_a/ext/addons/wall/col_a_addn_ext_wall_stght_4m_a.cgf
    [-6.4012100026111661E-07, 1.0000004267473106, 0, 0.0040500000000065484]
    [-1.0000004267473106, -6.4012100026111661E-07, -0, 2.0092359999999996]
    [-0, 0, 1.0000004267475153, 0]
  #2 objects/buildingsets/human/colonialism/col_a/ext/addons/wall/col_a_addn_ext_wall_stght_4m_a.cgf
    [-6.4012100026111661E-07, 1.0000004267473106, 0, 0.0040500000000065484]
    [-1.0000004267473106, -6.4012100026111661E-07, -0, -5.9907640000000004]
    [-0, 0, 1.0000004267475153, 0]
  #3 objects/buildingsets/human/colonialism/col_a/ext/addons/foundations/col_a_ext_steel_formwork_2m_001.cgf
    [-6.4012100026111661E-07, 1.0000004267473106, 0, -0.003140000000001919]
    [-1.0000004267473106, -6.4012100026111661E-07, -0, 1.6920959999999994]
    [-0, 0, 1.0000004267475153, -0.061150000000000003]
  #4 objects/buildingsets/human/colonialism/col_a/ext/addons/wall/col_a_addn_ext_wall_addn_b.cgf
    [-6.4012100026111661E-07, 1.0000004267473106, 0, 0.0040500000000065484]
    [-1.0000004267473106, -6.4012100026111661E-07, -0, 10.009236000000001]
    [-0, 0, 1.0000004267475153, 0]
  #5 objects/buildingsets/human/colonialism/col_a/ext/addons/wall/col_a_addn_ext_wall_addn_b.cgf
    [-6.4012100026111661E-07, 1.0000004267473106, 0, 0.0040500000000065484]
    [-1.0000004267473106, -6.4012100026111661E-07, -0, -1.9907640000000004]
    [-0, 0, 1.0000004267475153, 0]
  #6 objects/buildingsets/human/colonialism/col_a/ext/addons/wall/col_a_addn_ext_wall_stght_4m_a.cgf
