# IncludedObjects
# Cgfs: 5, Materials: 2, Palettes: 1, Placements: 9

[CGFs]
      0: objects/buildingsets/human/lowtech/prop/storage/box/box_plastic_1_005x005x005_a.cgf
      1: objects/buildingsets/human/lowtech/prop/storage/box/box_plastic_1_005x005x005_b.cgf
      2: objects/buildingsets/human/universal/prop/storage/loot/loot_stack_1_a.cgf
      3: objects/buildingsets/human/lowtech/prop/storage/box/box_fabric_1_005x005x005_b.cgf
      4: objects/buildingsets/human/lowtech/prop/storage/box/box_plastic_2_005x005x005_a.cgf

[Materials]
      0: objects/buildingsets/human/universal/prop/storage/loot/loot_stack_1_a
      1: objects/buildingsets/human/lowtech/prop/storage/box/box_fabric_1_c_medical_waste

[Palettes]
      0: Libs/Foundry/Records/TintPalettes/default

[Placements]
  #0 objects/buildingsets/human/lowtech/prop/storage/box/box_plastic_1_005x005x005_a.cgf
    [1, 0, 0, -0.25798400000000044]
    [0, 1, 0, 0.25708900000000057]
    [0, 0, 1, 0.23780000000000001]
  #1 objects/buildingsets/human/lowtech/prop/storage/box/box_plastic_1_005x005x005_b.cgf
    [-1, 0, 0, 0.24349899999999991]
    [0, -1, 0, -0.26075499999999963]
    [0, 0, 1, 0.25]
  #2 objects/buildingsets/human/lowtech/prop/storage/box/box_plastic_1_005x005x005_b.cgf
    [-1, 0, 0, -0.25650100000000009]
    [0, -1, 0, -0.26075499999999963]
    [0, 0, 1, 0.75]
  #3 objects/buildingsets/human/universal/prop/storage/loot/loot_stack_1_a.cgf
    [-6.4012100026111661E-07, -1.0000004267473106, 0, 0]
    [1.0000004267473106, -6.4012100026111661E-07, 0, 0]
    [0, 0, 1.0000004267475153, 0]
  #4 objects/buildingsets/human/lowtech/prop/storage/box/box_fabric_1_005x005x005_b.cgf
    [-6.4012100026111661E-07, 1.0000004267473106, 0, 0.24349899999999991]
    [-1.0000004267473106, -6.4012100026111661E-07, -0, 0.25708900000000057]
    [-0, 0, 1.0000004267475153, 0.74263699999999999]
  #5 objects/buildingsets/human/lowtech/prop/storage/box/box_plastic_2_005x005x005_a.cgf
    [1, 0, 0, -0.25798400000000044]
    [0, 1, 0, -0.26075499999999963]
    [0, 0, 1, 0.24263699999999999]
  #6 objects/buildingsets/human/lowtech/prop/storage/box/box_plastic_1_005x005x005_b.cgf
    [-1, 0, 0, 0.24349899999999991]
    [0, -1, 0, 0.25708900000000057]
    [0, 0, 1, 0.23780000000000001]
  #7 objects/buildingsets/human/lowtech/prop/storage/box/box_plastic_2_005x005x005_a.cgf
    [1, 0, 0, 0.24201599999999956]
    [0, 1, 0, -0.26075499999999963]
    [0, 0, 1, 0.74263699999999999]
  #8 objects/buildingsets/human/lowtech/prop/storage/box/box_plastic_1_005x005x005_a.cgf
    [-6.4012100026111661E-07, 1.0000004267473106, 0, -0.25798400000000044]
    [-1.0000004267473106, -6.4012100026111661E-07, -0, 0.25864299999999929]
    [-0, 0, 1.0000004267475153, 0.74263699999999999]
